r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.41,15.0,4.1,13.301372109673498,1.0,13.301372109673498
0.82,23.4,1.3,22.071746645881923,1.0,22.071746645881923
1.24,29.2,1.5,25.138022993067693,1.0,25.138022993067693
1.64,36.2,1.1,25.762765767673315,1.0,25.762765767673315
2.06,44.0,1.1,27.735754902291735,1.0,27.735754902291735
2.47,52.1,1.2,28.32203735609428,1.0,28.32203735609428
2.89,52.9,1.7,28.554554803043242,1.0,28.554554803043242
3.3,54.8,2.2,28.506204587773517,1.0,28.506204587773517
3.71,55.0,2.5,28.488123841348344,1.0,28.488123841348344
4.12,52.0,2.7,28.01935937882949,1.0,28.01935937882949
