r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.39,17.4,30.4,12.30018699044856,,
1.18,46.3,37.1,29.12108686158537,,
1.95,69.1,13.1,34.879296151155344,1.0096146398909374,35.04657097724841
2.74,85.2,6.2,37.08001213592034,1.0061860515902736,37.19452474774581
3.53,93.2,6.2,41.37856449902534,1.003873575552217,41.458628538351554
4.3,100.0,12.4,44.97301968958722,1.0023538512305274,45.025918477782945
5.09,108.0,6.2,46.422288827674144,1.0011808615797895,46.44968988950675
5.87,112.0,6.2,46.55347570267981,1.0007156272752622,46.570130192096514
6.4,113.0,24.9,47.139547091587545,1.0005047124232573,47.15144154847874
7.44,113.0,15.5,48.83667883875806,1.000491234682897,48.84867250123471
8.21,112.0,13.1,50.11723256525644,1.0007801472304958,50.136778163981425
9.0,111.0,26.4,50.10559350012731,1.0011549420110948,50.134519677985004
9.72,111.0,19.4,50.89229902450861,1.0016030142646213,50.93307323129089
11.79,113.0,12.5,53.23425400998872,1.0033570114714092,53.32353314568778
17.63,118.0,14.6,48.939710869599544,1.0108590565652689,49.20471293831424
