r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.22,50.2,7.5,33.71174869389009,1.0055954247494205,33.80593290400475
0.66,62.2,7.51,46.8263173867004,1.0003239060623619,46.83390043674097
1.11,72.4,5.35,46.98283622771192,1.0046894449089394,47.09286909140559
1.55,73.2,3.31,43.03558178995608,1.0121236345137654,43.29566969453514
2.0,72.9,3.21,39.2542851164048,1.0241521829925908,39.72549524179505
2.45,72.6,2.73,35.70664503982417,1.0367136484083204,36.35619752375226
2.89,71.5,3.41,32.71683358761969,1.0477508646861333,33.48885344935577
3.34,71.1,4.38,30.257754378010276,1.1161371861370926,31.96652898669652
3.78,71.4,4.6,28.287559102898925,,
4.22,71.5,5.68,26.962677908546105,,
4.66,71.5,6.2,25.910028946336592,,
5.11,71.3,6.43,25.06134872667471,,
5.56,71.8,9.68,24.290327292978166,,
6.0,71.5,10.5,24.13896642360646,,
